,temperature,humidity,ph,rainfall,label
0,30.371,70.0,6.787,50.05,jowar(sorghum)
1,31.485,70.0,6.03,80.986,jowar(sorghum)
2,26.397,70.0,7.107,42.284,jowar(sorghum)
3,31.178,70.0,6.316,43.304,jowar(sorghum)
4,30.211,70.0,6.376,58.217,jowar(sorghum)
5,25.714,70.0,6.948,78.428,jowar(sorghum)
6,29.165,70.0,6.079,91.559,jowar(sorghum)
7,27.336,70.0,6.17,64.003,jowar(sorghum)
8,26.886,70.0,7.022,67.205,jowar(sorghum)
9,29.919,70.0,6.339,93.502,jowar(sorghum)
10,30.108,70.0,6.804,83.17,jowar(sorghum)
11,28.18,70.0,6.378,86.753,jowar(sorghum)
12,31.041,70.0,7.205,43.372,jowar(sorghum)
13,26.517,70.0,7.037,99.196,jowar(sorghum)
14,27.552,70.0,6.534,75.55,jowar(sorghum)
15,26.309,70.0,7.266,71.07,jowar(sorghum)
16,25.399,70.0,7.374,65.992,jowar(sorghum)
17,27.839,70.0,6.983,85.403,jowar(sorghum)
18,28.958,70.0,6.987,46.317,jowar(sorghum)
19,28.876,70.0,6.698,94.851,jowar(sorghum)
20,28.928,70.0,7.315,80.578,jowar(sorghum)
21,30.034,70.0,6.895,71.899,jowar(sorghum)
22,29.322,70.0,6.659,57.112,jowar(sorghum)
23,31.421,70.0,6.904,45.607,jowar(sorghum)
24,31.48,70.0,6.41,97.412,jowar(sorghum)
25,27.659,70.0,6.068,84.948,jowar(sorghum)
26,30.943,70.0,6.634,95.905,jowar(sorghum)
27,29.155,70.0,6.256,92.296,jowar(sorghum)
28,28.819,70.0,7.025,55.124,jowar(sorghum)
29,27.992,70.0,7.191,66.625,jowar(sorghum)
30,25.688,70.0,6.334,53.632,jowar(sorghum)
31,25.218,70.0,6.13,83.841,jowar(sorghum)
32,28.416,70.0,7.023,54.847,jowar(sorghum)
33,30.157,70.0,7.015,58.039,jowar(sorghum)
34,31.587,70.0,7.256,76.493,jowar(sorghum)
35,26.328,70.0,6.351,53.591,jowar(sorghum)
36,25.707,70.0,7.493,40.108,jowar(sorghum)
37,28.393,70.0,6.975,45.194,jowar(sorghum)
38,27.497,70.0,6.051,59.264,jowar(sorghum)
39,29.814,70.0,7.063,47.143,jowar(sorghum)
40,29.057,70.0,6.338,42.288,jowar(sorghum)
41,26.037,70.0,6.265,55.016,jowar(sorghum)
42,27.47,70.0,6.658,85.315,jowar(sorghum)
43,28.796,70.0,6.759,69.494,jowar(sorghum)
44,29.952,70.0,7.059,50.861,jowar(sorghum)
45,25.101,70.0,6.984,63.974,jowar(sorghum)
46,27.477,70.0,7.167,66.721,jowar(sorghum)
47,28.881,70.0,6.582,48.34,jowar(sorghum)
48,26.412,70.0,6.799,93.173,jowar(sorghum)
49,31.838,70.0,6.962,96.296,jowar(sorghum)
50,25.771,70.0,6.745,51.626,jowar(sorghum)
51,29.682,70.0,7.46,50.615,jowar(sorghum)
52,30.555,70.0,6.635,62.418,jowar(sorghum)
53,30.429,70.0,7.332,72.535,jowar(sorghum)
54,28.826,70.0,7.248,57.214,jowar(sorghum)
55,30.704,70.0,6.393,99.711,jowar(sorghum)
56,26.962,70.0,7.236,86.843,jowar(sorghum)
57,25.043,70.0,7.347,62.577,jowar(sorghum)
58,26.598,70.0,6.324,45.792,jowar(sorghum)
59,30.193,70.0,6.749,95.855,jowar(sorghum)
60,25.683,70.0,6.125,44.505,jowar(sorghum)
61,28.81,70.0,7.178,80.373,jowar(sorghum)
62,26.69,70.0,6.943,70.432,jowar(sorghum)
63,26.141,70.0,7.23,68.133,jowar(sorghum)
64,28.445,70.0,7.25,73.817,jowar(sorghum)
65,27.331,70.0,6.28,50.835,jowar(sorghum)
66,26.302,70.0,6.522,41.657,jowar(sorghum)
67,29.811,70.0,7.082,42.939,jowar(sorghum)
68,26.696,70.0,7.048,89.612,jowar(sorghum)
69,26.417,70.0,6.967,74.297,jowar(sorghum)
70,25.508,70.0,6.387,45.48,jowar(sorghum)
71,25.479,70.0,7.412,70.347,jowar(sorghum)
72,27.376,70.0,6.447,93.569,jowar(sorghum)
73,25.867,70.0,7.057,85.083,jowar(sorghum)
74,31.48,70.0,7.316,97.703,jowar(sorghum)
75,27.571,70.0,7.274,70.355,jowar(sorghum)
76,29.135,70.0,7.048,96.356,jowar(sorghum)
77,30.759,70.0,7.41,91.47,jowar(sorghum)
78,27.782,70.0,6.846,85.405,jowar(sorghum)
79,27.242,70.0,7.134,48.113,jowar(sorghum)
80,26.763,70.0,6.702,48.357,jowar(sorghum)
81,30.413,70.0,7.403,76.892,jowar(sorghum)
82,28.705,70.0,6.319,92.707,jowar(sorghum)
83,31.032,70.0,6.31,62.802,jowar(sorghum)
84,27.328,70.0,7.499,64.573,jowar(sorghum)
85,30.371,70.0,6.3,90.501,jowar(sorghum)
86,27.386,70.0,6.473,86.976,jowar(sorghum)
87,27.857,70.0,6.486,44.056,jowar(sorghum)
88,26.848,70.0,7.158,44.166,jowar(sorghum)
89,27.855,70.0,7.47,71.592,jowar(sorghum)
90,29.869,70.0,6.506,79.149,jowar(sorghum)
91,25.432,70.0,7.198,66.146,jowar(sorghum)
92,27.272,70.0,6.082,96.062,jowar(sorghum)
93,30.006,70.0,6.233,48.078,jowar(sorghum)
94,27.209,70.0,7.37,72.17,jowar(sorghum)
95,25.287,70.0,6.85,85.173,jowar(sorghum)
96,31.872,70.0,7.459,49.092,jowar(sorghum)
97,30.091,70.0,6.879,68.452,jowar(sorghum)
98,27.331,70.0,7.471,52.567,jowar(sorghum)
99,30.292,70.0,6.21,42.636,jowar(sorghum)
100,27.538,70.0,6.143,97.819,jowar(sorghum)
101,26.173,70.0,7.327,87.751,jowar(sorghum)
102,26.027,70.0,7.186,73.331,jowar(sorghum)
103,25.317,70.0,6.205,46.572,jowar(sorghum)
104,30.749,70.0,6.987,74.321,jowar(sorghum)
105,26.423,70.0,6.245,96.6,jowar(sorghum)
106,26.571,70.0,6.5,80.587,jowar(sorghum)
107,25.243,70.0,6.236,46.547,jowar(sorghum)
108,31.514,70.0,6.965,44.799,jowar(sorghum)
109,31.06,70.0,7.263,60.405,jowar(sorghum)
110,26.306,70.0,6.063,94.452,jowar(sorghum)
111,27.454,70.0,6.503,78.132,jowar(sorghum)
112,26.838,70.0,6.547,74.57,jowar(sorghum)
113,26.267,70.0,6.515,46.238,jowar(sorghum)
114,25.21,70.0,6.413,47.582,jowar(sorghum)
115,25.714,70.0,6.68,92.165,jowar(sorghum)
116,25.208,70.0,6.785,99.987,jowar(sorghum)
117,27.385,70.0,6.533,48.242,jowar(sorghum)
118,29.149,70.0,7.378,43.883,jowar(sorghum)
119,25.173,70.0,7.12,53.185,jowar(sorghum)
120,29.391,70.0,7.485,97.087,jowar(sorghum)
121,31.027,70.0,7.413,70.757,jowar(sorghum)
122,30.298,70.0,7.167,44.866,jowar(sorghum)
123,25.823,70.0,6.485,89.159,jowar(sorghum)
124,26.24,70.0,7.477,78.634,jowar(sorghum)
125,29.282,70.0,7.369,45.118,jowar(sorghum)
126,31.708,70.0,7.229,68.229,jowar(sorghum)
127,29.887,70.0,7.449,89.159,jowar(sorghum)
128,29.173,70.0,6.061,52.078,jowar(sorghum)
129,30.728,70.0,6.311,98.25,jowar(sorghum)
130,31.201,70.0,6.393,67.488,jowar(sorghum)
131,26.117,70.0,7.25,65.69,jowar(sorghum)
132,26.33,70.0,6.228,69.202,jowar(sorghum)
133,27.091,70.0,6.622,46.692,jowar(sorghum)
134,27.622,70.0,6.635,99.974,jowar(sorghum)
135,26.343,70.0,7.32,68.784,jowar(sorghum)
136,25.003,70.0,7.301,91.631,jowar(sorghum)
137,26.568,70.0,6.388,63.423,jowar(sorghum)
138,28.61,70.0,6.666,83.19,jowar(sorghum)
139,30.892,70.0,7.205,63.306,jowar(sorghum)
140,26.058,70.0,7.107,93.762,jowar(sorghum)
141,25.76,70.0,6.339,83.034,jowar(sorghum)
142,30.891,70.0,7.022,46.089,jowar(sorghum)
143,25.786,70.0,7.167,99.187,jowar(sorghum)
144,25.253,70.0,7.132,59.145,jowar(sorghum)
145,31.516,70.0,6.187,91.554,jowar(sorghum)
146,30.886,70.0,6.391,44.185,jowar(sorghum)
147,30.582,70.0,7.154,89.424,jowar(sorghum)
148,26.689,70.0,6.692,76.492,jowar(sorghum)
149,29.902,70.0,7.217,44.712,jowar(sorghum)
150,31.964,60.0,6.099,55.598,barley(jav)
151,31.587,60.0,5.212,35.966,barley(jav)
152,27.825,60.0,6.396,43.019,barley(jav)
153,31.49,60.0,6.884,42.338,barley(jav)
154,29.847,60.0,5.871,63.259,barley(jav)
155,29.621,60.0,6.003,35.761,barley(jav)
156,27.323,60.0,5.712,42.061,barley(jav)
157,31.705,60.0,6.382,39.673,barley(jav)
158,31.827,60.0,5.674,39.348,barley(jav)
159,30.168,60.0,5.325,64.388,barley(jav)
160,29.866,60.0,5.381,38.287,barley(jav)
161,31.585,60.0,5.256,63.392,barley(jav)
162,31.2,60.0,6.764,51.439,barley(jav)
163,27.133,60.0,5.766,34.474,barley(jav)
164,28.573,60.0,5.396,38.585,barley(jav)
165,28.297,60.0,6.264,34.003,barley(jav)
166,29.874,60.0,5.486,40.972,barley(jav)
167,29.012,60.0,5.966,42.092,barley(jav)
168,27.069,60.0,5.447,59.227,barley(jav)
169,28.283,60.0,6.259,52.053,barley(jav)
170,29.451,60.0,6.57,60.349,barley(jav)
171,28.938,60.0,5.902,48.633,barley(jav)
172,30.113,60.0,5.562,58.905,barley(jav)
173,29.355,60.0,6.086,62.266,barley(jav)
174,30.216,60.0,6.336,58.539,barley(jav)
175,29.448,60.0,5.562,46.956,barley(jav)
176,29.617,60.0,6.694,37.71,barley(jav)
177,27.768,60.0,5.926,47.278,barley(jav)
178,29.327,60.0,5.512,58.667,barley(jav)
179,31.069,60.0,5.871,53.172,barley(jav)
180,29.107,60.0,5.594,54.89,barley(jav)
181,29.255,60.0,6.593,32.25,barley(jav)
182,31.371,60.0,5.815,41.531,barley(jav)
183,30.556,60.0,5.205,63.409,barley(jav)
184,29.364,60.0,5.132,47.556,barley(jav)
185,30.876,60.0,6.313,46.114,barley(jav)
186,27.683,60.0,5.605,36.962,barley(jav)
187,27.074,60.0,6.712,43.484,barley(jav)
188,30.442,60.0,5.086,46.709,barley(jav)
189,27.623,60.0,6.082,32.075,barley(jav)
190,27.023,60.0,6.427,34.258,barley(jav)
191,29.78,60.0,6.032,58.261,barley(jav)
192,27.302,60.0,6.679,51.361,barley(jav)
193,28.765,60.0,6.963,60.543,barley(jav)
194,27.979,60.0,5.719,58.532,barley(jav)
195,28.27,60.0,6.865,39.509,barley(jav)
196,31.729,60.0,5.011,55.987,barley(jav)
197,29.012,60.0,5.455,59.298,barley(jav)
198,28.759,60.0,6.315,63.806,barley(jav)
199,31.686,60.0,5.024,35.64,barley(jav)
200,31.815,60.0,5.878,42.237,barley(jav)
201,31.183,60.0,6.548,50.555,barley(jav)
202,27.705,60.0,6.752,61.281,barley(jav)
203,28.128,60.0,6.557,62.949,barley(jav)
204,27.193,60.0,6.644,44.748,barley(jav)
205,27.355,60.0,6.744,53.391,barley(jav)
206,28.134,60.0,5.091,39.752,barley(jav)
207,29.744,60.0,6.701,55.339,barley(jav)
208,27.627,60.0,5.797,60.127,barley(jav)
209,28.101,60.0,6.054,48.835,barley(jav)
210,27.24,60.0,6.441,56.656,barley(jav)
211,31.766,60.0,6.412,48.826,barley(jav)
212,31.296,60.0,6.452,31.97,barley(jav)
213,31.672,60.0,5.223,59.038,barley(jav)
214,29.108,60.0,6.134,35.317,barley(jav)
215,31.442,60.0,6.432,62.892,barley(jav)
216,29.077,60.0,6.506,57.42,barley(jav)
217,30.446,60.0,6.118,39.74,barley(jav)
218,30.16,60.0,5.645,53.864,barley(jav)
219,29.318,60.0,6.309,35.593,barley(jav)
220,30.554,60.0,6.767,48.545,barley(jav)
221,27.268,60.0,6.562,31.156,barley(jav)
222,29.408,60.0,6.121,33.982,barley(jav)
223,27.848,60.0,5.922,34.175,barley(jav)
224,28.561,60.0,5.946,38.206,barley(jav)
225,28.329,60.0,6.965,51.192,barley(jav)
226,30.892,60.0,6.168,57.869,barley(jav)
227,27.036,60.0,5.68,35.309,barley(jav)
228,31.033,60.0,6.667,40.634,barley(jav)
229,27.096,60.0,6.907,64.257,barley(jav)
230,27.561,60.0,6.075,52.977,barley(jav)
231,27.82,60.0,6.97,58.129,barley(jav)
232,29.172,60.0,6.152,63.829,barley(jav)
233,29.945,60.0,6.006,45.958,barley(jav)
234,29.339,60.0,6.726,50.41,barley(jav)
235,30.839,60.0,6.137,52.441,barley(jav)
236,31.918,60.0,5.694,48.645,barley(jav)
237,30.734,60.0,5.694,31.647,barley(jav)
238,28.859,60.0,6.177,39.376,barley(jav)
239,28.394,60.0,5.679,40.522,barley(jav)
240,29.667,60.0,6.55,59.76,barley(jav)
241,29.597,60.0,6.203,30.143,barley(jav)
242,29.501,60.0,5.471,39.414,barley(jav)
243,31.443,60.0,5.706,37.302,barley(jav)
244,30.55,60.0,6.998,43.887,barley(jav)
245,27.868,60.0,5.524,30.016,barley(jav)
246,28.947,60.0,6.944,50.352,barley(jav)
247,30.405,60.0,5.936,39.551,barley(jav)
248,30.999,60.0,5.999,38.069,barley(jav)
249,28.191,60.0,5.923,43.809,barley(jav)
250,28.587,60.0,5.877,31.166,barley(jav)
251,30.788,60.0,5.798,63.332,barley(jav)
252,30.739,60.0,5.206,50.22,barley(jav)
253,29.752,60.0,6.127,34.764,barley(jav)
254,29.817,60.0,5.037,48.117,barley(jav)
255,29.678,60.0,6.514,38.127,barley(jav)
256,27.191,60.0,5.609,35.061,barley(jav)
257,31.147,60.0,6.753,59.316,barley(jav)
258,27.041,60.0,6.333,62.807,barley(jav)
259,31.982,60.0,5.949,56.983,barley(jav)
260,29.627,60.0,5.296,53.283,barley(jav)
261,29.889,60.0,5.092,30.732,barley(jav)
262,28.443,60.0,5.942,64.375,barley(jav)
263,28.358,60.0,5.081,37.289,barley(jav)
264,27.876,60.0,6.438,63.753,barley(jav)
265,28.411,60.0,6.842,47.873,barley(jav)
266,27.157,60.0,6.537,41.38,barley(jav)
267,29.081,60.0,6.512,48.686,barley(jav)
268,30.414,60.0,6.725,41.636,barley(jav)
269,28.235,60.0,6.505,48.382,barley(jav)
270,30.838,60.0,6.836,42.991,barley(jav)
271,30.793,60.0,6.778,48.494,barley(jav)
272,31.734,60.0,6.284,30.927,barley(jav)
273,29.5,60.0,6.591,37.242,barley(jav)
274,28.912,60.0,6.902,37.693,barley(jav)
275,30.303,60.0,6.221,64.974,barley(jav)
276,27.243,60.0,5.85,32.731,barley(jav)
277,31.876,60.0,5.085,57.113,barley(jav)
278,31.614,60.0,5.704,31.589,barley(jav)
279,29.906,60.0,6.055,46.48,barley(jav)
280,31.669,60.0,6.607,50.066,barley(jav)
281,28.48,60.0,6.021,49.197,barley(jav)
282,29.754,60.0,6.128,59.424,barley(jav)
283,31.678,60.0,6.745,47.192,barley(jav)
284,28.012,60.0,5.336,38.689,barley(jav)
285,29.726,60.0,6.401,56.769,barley(jav)
286,27.213,60.0,5.96,36.167,barley(jav)
287,29.071,60.0,5.49,35.128,barley(jav)
288,27.715,60.0,6.646,58.405,barley(jav)
289,30.178,60.0,5.228,50.962,barley(jav)
290,31.659,60.0,5.834,49.437,barley(jav)
291,29.567,60.0,6.866,43.371,barley(jav)
292,31.03,60.0,6.263,39.278,barley(jav)
293,29.438,60.0,5.036,48.962,barley(jav)
294,28.211,60.0,6.013,56.411,barley(jav)
295,27.248,60.0,5.639,54.857,barley(jav)
296,30.498,60.0,6.752,53.512,barley(jav)
297,30.617,60.0,5.027,36.769,barley(jav)
298,31.186,60.0,5.518,54.695,barley(jav)
299,31.3,60.0,6.162,39.421,barley(jav)
300,35.151,68.393,6.845,70.156,ragi(naachnnii)
301,22.191,69.779,5.534,82.433,ragi(naachnnii)
302,27.954,68.649,6.662,109.788,ragi(naachnnii)
303,24.545,69.092,4.946,81.851,ragi(naachnnii)
304,34.003,68.21,4.691,78.527,ragi(naachnnii)
305,33.543,68.042,5.092,86.666,ragi(naachnnii)
306,25.986,68.382,6.61,81.59,ragi(naachnnii)
307,39.351,68.146,7.139,104.191,ragi(naachnnii)
308,34.845,68.762,7.09,80.364,ragi(naachnnii)
309,26.795,68.985,4.869,95.956,ragi(naachnnii)
310,37.581,69.115,5.321,71.956,ragi(naachnnii)
311,27.149,68.777,5.676,70.121,ragi(naachnnii)
312,36.342,68.687,7.36,85.832,ragi(naachnnii)
313,33.48,69.323,5.066,88.959,ragi(naachnnii)
314,31.228,69.349,5.185,85.612,ragi(naachnnii)
